Event_Trigger,Timestamp
9,7/1/2019 0:00
8,7/1/2019 0:01
8,7/1/2019 0:02
8,7/1/2019 0:03
8,7/1/2019 0:04
8,7/1/2019 0:05
7,7/1/2019 0:06
8,7/1/2019 0:07
8,7/1/2019 0:08
7,7/1/2019 0:09
8,7/1/2019 0:10
8,7/1/2019 0:11
8,7/1/2019 0:12
8,7/1/2019 0:13
7,7/1/2019 0:14
7,7/1/2019 0:15
7,7/1/2019 0:16
8,7/1/2019 0:17
7,7/1/2019 0:18
7,7/1/2019 0:19
8,7/1/2019 0:20
8,7/1/2019 0:21
8,7/1/2019 0:22
8,7/1/2019 0:23
7,7/1/2019 0:24
7,7/1/2019 0:25
7,7/1/2019 0:26
8,7/1/2019 0:27
8,7/1/2019 0:28
7,7/1/2019 0:29
8,7/1/2019 0:30
8,7/1/2019 0:31
8,7/1/2019 0:32
8,7/1/2019 0:33
7,7/1/2019 0:34
7,7/1/2019 0:35
7,7/1/2019 0:36
8,7/1/2019 0:37
7,7/1/2019 0:38
7,7/1/2019 0:39
7,7/1/2019 0:40
7,7/1/2019 0:41
7,7/1/2019 0:42
8,7/1/2019 0:43
7,7/1/2019 0:44
7,7/1/2019 0:45
7,7/1/2019 0:46
8,7/1/2019 0:47
8,7/1/2019 0:48
7,7/1/2019 0:49
7,7/1/2019 0:50
7,7/1/2019 0:51
8,7/1/2019 0:52
8,7/1/2019 0:53
7,7/1/2019 0:54
7,7/1/2019 0:55
7,7/1/2019 0:56
7,7/1/2019 0:57
7,7/1/2019 0:58
7,7/1/2019 0:59
9,7/1/2019 1:00
8,7/1/2019 1:01
8,7/1/2019 1:02
8,7/1/2019 1:03
7,7/1/2019 1:04
8,7/1/2019 1:05
7,7/1/2019 1:06
8,7/1/2019 1:07
8,7/1/2019 1:08
7,7/1/2019 1:09
7,7/1/2019 1:10
8,7/1/2019 1:11
8,7/1/2019 1:12
8,7/1/2019 1:13
7,7/1/2019 1:14
7,7/1/2019 1:15
7,7/1/2019 1:16
8,7/1/2019 1:17
7,7/1/2019 1:18
7,7/1/2019 1:19
7,7/1/2019 1:20
8,7/1/2019 1:21
8,7/1/2019 1:22
8,7/1/2019 1:23
7,7/1/2019 1:24
7,7/1/2019 1:25
8,7/1/2019 1:26
8,7/1/2019 1:27
8,7/1/2019 1:28
7,7/1/2019 1:29
8,7/1/2019 1:30
8,7/1/2019 1:31
8,7/1/2019 1:32
8,7/1/2019 1:33
7,7/1/2019 1:34
8,7/1/2019 1:35
8,7/1/2019 1:36
8,7/1/2019 1:37
8,7/1/2019 1:38
7,7/1/2019 1:39
7,7/1/2019 1:40
7,7/1/2019 1:41
7,7/1/2019 1:42
8,7/1/2019 1:43
7,7/1/2019 1:44
7,7/1/2019 1:45
7,7/1/2019 1:46
7,7/1/2019 1:47
7,7/1/2019 1:48
7,7/1/2019 1:49
7,7/1/2019 1:50
7,7/1/2019 1:51
7,7/1/2019 1:52
8,7/1/2019 1:53
7,7/1/2019 1:54
7,7/1/2019 1:55
7,7/1/2019 1:56
7,7/1/2019 1:57
7,7/1/2019 1:58
7,7/1/2019 1:59
9,7/1/2019 2:00
8,7/1/2019 2:01
8,7/1/2019 2:02
8,7/1/2019 2:03
8,7/1/2019 2:04
8,7/1/2019 2:05
7,7/1/2019 2:06
8,7/1/2019 2:07
8,7/1/2019 2:08
7,7/1/2019 2:09
8,7/1/2019 2:10
8,7/1/2019 2:11
8,7/1/2019 2:12
8,7/1/2019 2:13
8,7/1/2019 2:14
8,7/1/2019 2:15
8,7/1/2019 2:16
8,7/1/2019 2:17
8,7/1/2019 2:18
7,7/1/2019 2:19
8,7/1/2019 2:20
8,7/1/2019 2:21
8,7/1/2019 2:22
8,7/1/2019 2:23
8,7/1/2019 2:24
8,7/1/2019 2:25
8,7/1/2019 2:26
8,7/1/2019 2:27
8,7/1/2019 2:28
7,7/1/2019 2:29
8,7/1/2019 2:30
8,7/1/2019 2:31
8,7/1/2019 2:32
8,7/1/2019 2:33
7,7/1/2019 2:34
7,7/1/2019 2:35
8,7/1/2019 2:36
8,7/1/2019 2:37
8,7/1/2019 2:38
7,7/1/2019 2:39
7,7/1/2019 2:40
8,7/1/2019 2:41
8,7/1/2019 2:42
8,7/1/2019 2:43
7,7/1/2019 2:44
7,7/1/2019 2:45
7,7/1/2019 2:46
7,7/1/2019 2:47
7,7/1/2019 2:48
7,7/1/2019 2:49
7,7/1/2019 2:50
7,7/1/2019 2:51
8,7/1/2019 2:52
8,7/1/2019 2:53
7,7/1/2019 2:54
7,7/1/2019 2:55
7,7/1/2019 2:56
7,7/1/2019 2:57
7,7/1/2019 2:58
7,7/1/2019 2:59
9,7/1/2019 3:00
9,7/1/2019 3:01
8,7/1/2019 3:02
8,7/1/2019 3:03
7,7/1/2019 3:04
8,7/1/2019 3:05
7,7/1/2019 3:06
8,7/1/2019 3:07
7,7/1/2019 3:08
7,7/1/2019 3:09
7,7/1/2019 3:10
7,7/1/2019 3:11
8,7/1/2019 3:12
8,7/1/2019 3:13
7,7/1/2019 3:14
7,7/1/2019 3:15
7,7/1/2019 3:16
7,7/1/2019 3:17
7,7/1/2019 3:18
7,7/1/2019 3:19
8,7/1/2019 3:20
8,7/1/2019 3:21
8,7/1/2019 3:22
8,7/1/2019 3:23
8,7/1/2019 3:24
7,7/1/2019 3:25
7,7/1/2019 3:26
8,7/1/2019 3:27
8,7/1/2019 3:28
7,7/1/2019 3:29
8,7/1/2019 3:30
8,7/1/2019 3:31
8,7/1/2019 3:32
8,7/1/2019 3:33
7,7/1/2019 3:34
7,7/1/2019 3:35
7,7/1/2019 3:36
7,7/1/2019 3:37
7,7/1/2019 3:38
7,7/1/2019 3:39
7,7/1/2019 3:40
7,7/1/2019 3:41
7,7/1/2019 3:42
8,7/1/2019 3:43
7,7/1/2019 3:44
7,7/1/2019 3:45
7,7/1/2019 3:46
7,7/1/2019 3:47
7,7/1/2019 3:48
7,7/1/2019 3:49
7,7/1/2019 3:50
7,7/1/2019 3:51
7,7/1/2019 3:52
7,7/1/2019 3:53
7,7/1/2019 3:54
7,7/1/2019 3:55
7,7/1/2019 3:56
7,7/1/2019 3:57
7,7/1/2019 3:58
7,7/1/2019 3:59
10,7/1/2019 4:00
8,7/1/2019 4:01
8,7/1/2019 4:02
7,7/1/2019 4:03
7,7/1/2019 4:04
7,7/1/2019 4:05
7,7/1/2019 4:06
8,7/1/2019 4:07
7,7/1/2019 4:08
7,7/1/2019 4:09
7,7/1/2019 4:10
8,7/1/2019 4:11
7,7/1/2019 4:12
8,7/1/2019 4:13
7,7/1/2019 4:14
7,7/1/2019 4:15
7,7/1/2019 4:16
8,7/1/2019 4:17
7,7/1/2019 4:18
7,7/1/2019 4:19
8,7/1/2019 4:20
8,7/1/2019 4:21
8,7/1/2019 4:22
8,7/1/2019 4:23
8,7/1/2019 4:24
8,7/1/2019 4:25
7,7/1/2019 4:26
7,7/1/2019 4:27
7,7/1/2019 4:28
7,7/1/2019 4:29
8,7/1/2019 4:30
8,7/1/2019 4:31
8,7/1/2019 4:32
8,7/1/2019 4:33
8,7/1/2019 4:34
8,7/1/2019 4:35
7,7/1/2019 4:36
8,7/1/2019 4:37
7,7/1/2019 4:38
7,7/1/2019 4:39
7,7/1/2019 4:40
7,7/1/2019 4:41
8,7/1/2019 4:42
8,7/1/2019 4:43
7,7/1/2019 4:44
7,7/1/2019 4:45
8,7/1/2019 4:46
8,7/1/2019 4:47
7,7/1/2019 4:48
7,7/1/2019 4:49
7,7/1/2019 4:50
7,7/1/2019 4:51
7,7/1/2019 4:52
7,7/1/2019 4:53
7,7/1/2019 4:54
8,7/1/2019 4:55
8,7/1/2019 4:56
7,7/1/2019 4:57
7,7/1/2019 4:58
8,7/1/2019 4:59
10,7/1/2019 5:00
8,7/1/2019 5:01
8,7/1/2019 5:02
8,7/1/2019 5:03
8,7/1/2019 5:04
8,7/1/2019 5:05
8,7/1/2019 5:06
8,7/1/2019 5:07
7,7/1/2019 5:08
7,7/1/2019 5:09
8,7/1/2019 5:10
9,7/1/2019 5:11
8,7/1/2019 5:12
8,7/1/2019 5:13
8,7/1/2019 5:14
8,7/1/2019 5:15
7,7/1/2019 5:16
8,7/1/2019 5:17
8,7/1/2019 5:18
7,7/1/2019 5:19
8,7/1/2019 5:20
9,7/1/2019 5:21
8,7/1/2019 5:22
8,7/1/2019 5:23
7,7/1/2019 5:24
7,7/1/2019 5:25
7,7/1/2019 5:26
8,7/1/2019 5:27
7,7/1/2019 5:28
7,7/1/2019 5:29
8,7/1/2019 5:30
8,7/1/2019 5:31
8,7/1/2019 5:32
8,7/1/2019 5:33
7,7/1/2019 5:34
7,7/1/2019 5:35
7,7/1/2019 5:36
8,7/1/2019 5:37
8,7/1/2019 5:38
7,7/1/2019 5:39
7,7/1/2019 5:40
7,7/1/2019 5:41
8,7/1/2019 5:42
8,7/1/2019 5:43
7,7/1/2019 5:44
7,7/1/2019 5:45
7,7/1/2019 5:46
8,7/1/2019 5:47
8,7/1/2019 5:48
7,7/1/2019 5:49
7,7/1/2019 5:50
8,7/1/2019 5:51
8,7/1/2019 5:52
8,7/1/2019 5:53
7,7/1/2019 5:54
7,7/1/2019 5:55
8,7/1/2019 5:56
8,7/1/2019 5:57
8,7/1/2019 5:58
7,7/1/2019 5:59
9,7/1/2019 6:00
8,7/1/2019 6:01
8,7/1/2019 6:02
8,7/1/2019 6:03
8,7/1/2019 6:04
8,7/1/2019 6:05
8,7/1/2019 6:06
8,7/1/2019 6:07
8,7/1/2019 6:08
8,7/1/2019 6:09
8,7/1/2019 6:10
8,7/1/2019 6:11
8,7/1/2019 6:12
8,7/1/2019 6:13
